P1_entrez	P2_entrez	times
3315	645432,115,4931,8805,9531,51594,103910,301,9182,9878,23015,3839,342979,102724652,7041,6731,8443,23363,10627,2495,7157,8672,9252,6829,1409,1676,23020,55660,729092,23582,8872,10248,1070,2317,10168,9868,9352,1410,2162,81,2037,6305,7514,414059,6303,55699,983,83446,91694,23450,79624,26130,51003,10200,7277,90416,51692,55791,5886,125488,892,144406,54623,6895,51155,119016,7520,90861,3927,3978,1854,8563,2288,10971,55276,1982,1182,3326,2036,3929,5786,57623,3875,23216,3189,4528,79657,10527,3188,9261,6675,3925,1398,262,131831,51340,3921,10606,6597,284058,10938,3192,5687,1975,121355,87178,11059,7709,11146,6396,1674,55257,7381,56850,25831,2665,3308,56888,10951,10927,347517,10480,84133,26136,5684,51133,8775,6897,1964,64105,8878,55812,339287,7690,29968,6275,22929,129852,10573,55012,161142,152110,54780,11136,9343,5690,120,10309,8087,7534,84292,5202,11149,92558,10054,10133,84320,4236,102288414,157,9978,8833,7791,6602,83861,163,64976,87,6711,5340,7533,23760,10135,26353,3185,27339,7867,79822,5725,23435,58517,2739,4638,6595,114883,51031,2978,3476,3831,51649,5707,55929,51517,10075,1983,80273,23589,1933,5494,6389,1965,7358,248,5019,25957,7267,140807,5898,57159,9097,9414,1420,7178,3187,29950,81875,3312,3069,134218,122258,1915,27247,6301,25814,7334,27258,79026,1974,93323,286,29789,6636,8550,23527,7170,10273,51434,116988,5587,3516,3313,55815,9698,7798,10728,53918,93426,2539,23136,88,80279,84060,5168,2623,10398,2617,9584,54535,5774,79366,191,51763,7353,23022,3704,51019,54936,23429,2073,90417,84966,1465,84300,3320,84131,4175,3184,5700,55905,4898,1415,91624,84457,56311,55002,4673,1936,8874,25820,10946,3181,8536,22938,5824	294
3320	2058,9049,2099,22858,1956,4342,2064,26261,2908,332,9889,27257,7157,5481,4593,406,10598,3315,3932,5241,8943,5894,3725,5578,4306,5465,10461,10188,4193,6449,5129,1613,5058,6502,4920,2289,1111,2932,4842,6189,8452,25,3055,51086,91464,100526835,9064,5590,8454,292,2260,1022,6122,4149,2043,5586,984,27072,4591,340359,2065,6210,2176,9817,6773,5159,6720,3998,55359,6195,5896,5579,8451,5753,2288,100462977,2185,6840,57093,8290,2768,2103,54778,11329,6829,4174,5583,6493,7709,5598,2261,6000,3661,7182,4097,3178,6748,91607,369,2305,10487,5562,6224,8507,2242,4172,51270,3304,3660,25943,7075,90678,5593,207,11140,3480,4067,6446,5609,5071,8453,780,7301,7170,208,8463,4914,5913,2931,90864,3742,5871,1969,317719,1021,9886,7385,6125,284086,1436,6871,695,93,26091,2444,818,269,10062,79654,3741,6197,6139,4921,2324,5596,5218,5567,5467,5610,91807,9869,1019,81545,4916,5034,2268,1196,3336,1650,2534,4915,2041,4846,10336,55159,10728,3645,5747,7625,4691,673,814,55070,6569,6794,467,2047,3297,639,5563,5581,10953,3326,6161,4798,660,373509,378884,63951,3959,8737,9641,7525,816,4194,3984,367,91,5681,3716,23450,386617,127544,389840,5585,821,3308,8711,10922,7283,10724,5587,93986,9970,166793,1750,6217,1760,6198,2868,1018,1053,5888,653404,2066,2175,3702,1457,2051,6196,9306,283455,9628,3091,50809,1198,3159,8786,5607,6129,3656,4082,8856,6159,2870,817,4782,3985,7128,1326,9810,558,1025,1102,10294,120892,55291,196,9870,5582,8450,3303,5588,6147,55295,5613,7284,5584,55632,5979,23139,7297,640,657,1452,4145,3654,84861,7786,22954	290
2100	6714,5469,8648,8204,10499,2099,5705,8668,23054,10957,6192,11137,55193,4625,554313,27043,114294,9326,23165,7431,84129,58517,9513,10549,102724334,11052,6525,89,375287,4641,23367,155465,2934,8362,2317,6745,5591,130507,399671,6601,1374,91748,23644,65095,22794,1499,3898,121504,222546,6233,7031,9611,6188,8568,2803,9282,5536,55806,2017,6256,11064,6147,9349,54897,51490,9862,2976,8359,6427,5813,4744,348158,1121,3912,221037,6699,5630,2784,8365,124245,57619,10096,4642,6207,10270,5981,3188,29889,10291,23122,6139,10935,6161,1264,80760,9442,7709,6607,8161,2975,27288,4223,2033,6129,8367,5984,8243,10212,10865,9221,4736,2935,6323,8361,6949,2670,8575,6230,87,3310,23076,6838,8368,8431,3304,4793,6130,10240,6194,2332,64965,6201,23130,6229,51065,54460,9343,2802,8370,1627,27332,6191,220164,8364,79784,27044,6205,400673,9648,3303,27072,6203,23223,2318,9581,9057,160,5718,140469,6231,286827,10283,23450,6606,6222,81608,871,25959,10657,117246,6142,79228,4637,6217,374920,8241,8881,56829,23481,388677,3312,284403,8363,4298,8360,8294,8366,135112,3054,10528,10529,60,6218,1434,55749,11009,4288,26121,8554,4085,6407,1654,54502,343069,8805,3006,8467,5359,5304,5394,27336,1917,23082,6780,56945,79809,3598,5982,6159,55922,2312,83473,23471,6430,9276,9325,5468,5594,10109,10399,6175,57644,4686,9219,64960,23107,64969,9361,26135,50809,9584,6712,254427	243
2885	5644,10603,2826,9229,7112,367,9826,3563,1315,7018,729,675,2261,27,344148,2334,9101,1956,2064,2324,4691,7311,22794,2023,10100,3791,5786,7080,5777,2060,9103,2286,6261,2137,51596,9187,54754,5430,4007,326,9282,2512,8664,197,3856,2316,2047,8928,183,4133,4627,7580,847,10659,7317,2495,4233,3717,5077,57007,6792,5863,5296,154,2335,930,669,2799,2213,2690,2004,1398,4914,7412,6462,9564,7918,23020,3240,867,3075,998,2151,3309,7431,6667,3224,1892,2317,1615,6137,7454,2098,4509,350,7316,58512,65220,10040,3784,8853,23114,4801,1856,118471,6237,567,5987,240,51043,274,5424,4253,2271,3190,1785,8482,9901,7456,8867,5336,10278,5950,1027,5532,25,5775,4582,10618,7916,351,8651,8724,831,3953,2175,3838,7409,1447,5770,3183,5287,212,3815,3674,1436,10617,8871,7415,6098,10253,1164,2168,3005,23476,10915,1191,7249,8766,2065,27040,54058,259,1337,835,3074,613,4629,6464,6714,4538,4005,9948,9743,8976,940,887,3400,3716,5159,5925,2,3667,1417,325,2120,2638,56252,2263,3151,7287,2534,8471,1815,6853,9931,6506,558,5295,5621,9749,996,10236,2954,5338,1271,3561	207
29979	55742,30008,121506,51606,6184,65117,4093,9798,140738,79175,11332,5910,9861,100532736,5480,5764,64328,3177,3099,11065,85451,7319,7321,9559,653808,51297,10879,7132,60626,7347,5937,1478,50861,9240,5663,124220,54820,9815,2562,5701,56893,51060,130617,355,79077,113791,2912,57590,29978,3925,8324,9203,55500,7857,2286,9736,7316,51035,22955,63905,4681,9413,2561,55326,6782,2994,813,4267,2878,9818,2556,9146,7133,2335,118471,7099,11047,118881,57326,26260,440,6447,5552,2157,7311,2212,9525,79024,5276,712,26071,246100,4214,2060,7335,6354,3572,387522,7322,55374,5479,2555,55660,4176,23283,4878,23127,7031,55739,51738,30848,64374,4852,1207,1671,22954,83593,5914,10534,526,5710,6625,5887,9406,1278,25764,10551,83692,5542,9202,11145,1485,5708,58513,150771,429,55768,2475,8239,2560,51144,5686,155465,4682,57542,10277,7314,84305,80318,54471,10007,57154,1136,23435,79089,7337,3280,94081,84993,2033,5886,2559,5034,727800,1300,203562,2252,3305,6678,441518,7320,5664,1114,5054,10016,51499,4543,10768,23190,114898,4302,125170,1244,4832,2554,351,51706,4522,2563,9516	190
8517	10010,11091,29995,283899,11040,23029,3875,8676,6171,7301,11078,23164,28989,6879,55319,7763,2960,9443,11074,5947,1026,6829,85480,59343,51533,55082,55803,55651,7186,10494,7314,51256,2868,55388,8887,3242,7010,1956,3399,1915,9404,56888,8915,26994,29775,80149,114884,6047,2043,1192,3856,1612,63941,57698,29110,5579,3702,6954,5036,3059,29982,11059,9815,4176,55930,839,1649,6732,1070,90480,7128,84320,8487,22919,23650,51329,4792,9939,5515,107080638,26009,10892,9020,1387,1147,94015,7316,653784,9093,9049,5071,3005,29883,472,55228,3551,3872,57019,9100,441478,8767,4636,7189,4302,2324,22938,23623,5584,9727,7178,79173,23085,51631,55111,2475,207,329,170082,84328,79571,301,54535,5588,8216,6857,5433,55072,5684,51143,5970,83607,10342,84296,10801,117178,10616,10241,10912,84875,3718,22900,5431,11269,2670,1540,404093,83786,3932,266812,6895,83636,11128,132320,8500,54934,10318,23683,23118,10758,140290,3397,90933,19,2982,8908,8533,5979,54959,1017,55346,5434,10776,8737,5932,3117,3069,9099,2739,6446,2322,79657,793,5082,9616,79155,4609	186
7329	3725,813,6908,7153,5563,9810,6907,3775,3178,3183,2120,103,8575,7068,9913,4286,100532731,6513,55660,351,8826,23020,467,6772,648,3190,7150,6872,5987,9531,9611,2272,10528,328,6498,1102,8365,6310,4792,1052,3880,58517,1386,6256,7514,554313,4000,55729,3741,51341,1147,6189,5925,6129,8721,4701,641,8856,2002,367,5905,875,7067,5702,4144,4695,5715,7494,23384,1488,22218,4509,5371,2752,8363,8360,301,1616,5893,55553,6662,4931,11077,9189,8370,9726,8359,9063,9443,6613,1674,9759,835,142,9075,9670,5465,8554,1959,51567,8367,2115,5192,3151,8294,7132,3093,7376,6790,1495,6421,121504,1196,4772,8362,9306,7020,7812,6517,7290,9092,10475,10915,4839,6337,373,2099,6132,6929,7070,2494,9839,6925,7345,7572,8364,9101,983,4059,355,8361,5575,6612,7161,4306,23028,4005,10738,5468,5937,1385,672,7157,6478,1655,23295,4602,1002,6548,7324,5573,7322,6672,2908,8553,8368,7341,5903,4599,6722,102724560,7520,6737,8767,3172,1027,2113,6663,9146,1080,668,4627,201254,8366,2353,7490	186
4188	11334,9422,50717,80174,140947,23500,10148,64927,7220,5819,113655,164312,55093,9743,4617,7755,10758,94039,157773,7135,115817,285753,3845,154865,4665,60370,5068,25894,4701,152816,90355,414157,10781,2787,6944,55684,26505,200014,7481,84140,147660,127002,84527,8326,353145,1407,196477,10062,4174,130560,54461,10954,163059,7697,79870,3927,8227,84775,7249,9139,55022,4654,10252,2771,7075,10865,9721,55536,9726,9674,168417,7428,51265,1794,604,92595,9907,55049,90060,85019,7678,547,7711,129807,23005,362,154313,653404,1406,84733,55885,6890,54973,7301,199834,10922,25796,2624,164592,11135,9814,7142,9961,22943,10253,7633,9841,3219,10524,10169,221504,254173,22893,4223,167826,26121,9586,7050,9470,9098,1822,3198,81926,83538,284058,286075,4656,7597,3838,7695,80125,6495,358,57188,57326,23001,7355,15,23503,126070,10539,9140,84914,1848,92129,4034,120379,285093,79797,164127,7376,128977,80233,5013,5300,55679,92906,494514,117144,5155,114971,2242,284391,5990,3351,163050,147687,2623,84752,353132,1974,22822,9729,527,6548,6924,5565,100316904,90594,146664,1535,3609,2130	183
2033	4850,5579,10286,4654,3476,5886,2353,7849,4088,10923,672,4801,8351,6774,7421,1610,10579,8061,7704,1649,3012,604,7329,8367,8358,6198,3024,5578,8370,5599,196,8353,2355,60,8335,5468,8976,983,1052,602,6773,8368,5454,8357,5425,8354,3150,6155,4137,7161,6777,8365,3164,4673,5423,9401,715,5111,5465,3699,6613,1499,4605,1655,6095,1386,4683,51043,4790,3838,8355,142,8968,5359,8356,3075,2801,8573,367,5970,4869,904,8352,4602,26471,8294,3875,2115,26959,7913,1051,8364,2885,3660,6776,2023,3018,861,6736,4094,5104,1958,7534,6929,8363,5594,10657,914,8350,6615,6720,5347,7020,6414,554313,10474,4092,3007,4609,3151,328,1385,7066,4350,2130,2548,5079,4772,8362,121504,7157,8360,5340,2335,7316,7528,1763,2237,1213,3192,207,6772,5914,2099,8359,2056,8366,7629,2118,4851,4149,9318,2354,416,5901,8888,5467,4193,5092,3725,6935,8361,2624,6667,3726,1406,5580,2547,3727,5925	170
7157	7083,9063,10425,9232,54971,6597,4860,11200,7068,183,3551,9219,7421,91768,23309,1111,6790,9532,8079,5565,5717,9891,8554,3304,350,2309,30008,983,1856,3303,6285,4194,23028,9522,7337,9587,3146,4904,4691,6303,5601,6279,2877,5867,5347,5371,3093,672,998,4193,6188,1616,598,578,6872,5469,7965,1460,22948,1031,3313,9961,7158,3091,6714,2948,1453,5599,1022,142,4792,1457,7161,6667,6638,10155,8848,467,5903,328,7020,5591,675,5888,8178,5587,1719,10063,5908,5464,310,6778,6880,8864,641,5499,8894,3315,545,7272,403,6811,1647,9040,5272,7534,472,1452,5336,7490,6606,6117,306,1613,4869,5987,6996,7341,995,6789,2033,5578,2965,5743,2068,2932,1107,5610,10474,3705,5594,649,1104,7329,8237,4487,8648,3164,5300,79884,6275,79184,1026,7572,1020,3910,902,9820,2873,7159,1017,5050,6362,2079,6783,1398,5691,6204,8926,7150,1432,9100,3838,10277,3065,613,6607	167
