From	To
A0A024R087	7690
Q92560	8314
O75553	1600
P25788	5684
Q02446	6671
Q8N9W6	66037
Q93062	11030
Q9NVV9	55145
P50222	4223
O00560	6386
Q14498	9584
Q8N9Q2	285672
Q9NZ81	54458
P03372	2099
Q92731	2100
A0A0A0MS80	283232
P56705	54361
A0A0A6YYG9	100526693
O15143	10095
O15144	10109
O15145	10094
O15511	10092
P61158	10096
P61160	10097
Q12965	4643
Q96C19	79180
Q9BPX5	81873
V9HVZ6	10552
P30512	3105
P78358	1485
P78358	246100
A0AUZ9	151050
Q96CV9	10133
A0AV96	54502
Q6P1W5	84970
Q96LI6	159119
Q96LI6	86614
A0AVI4	92305
P55036	5710
Q15198	5157
Q96H12	91283
Q96QB1	10395
A0AVK6	79733
Q01844	2130
Q12800	7024
Q13643	2275
Q8IUH5	23390
Q8N653	8216
A0AVT1	55236
O14933	9246
O15198	4093
O15205	10537
O43865	10768
O60936	8996
O75153	23277
O95155	10277
O95302	11328
O95352	10533
O95747	9943
P06865	3073
P0CG48	7316
P11216	5834
P12268	3615
P15374	7347
P17812	1503
P46926	10007
P52788	6611
P53609	5229
P54725	5886
P54727	5887
P55786	9520
P62837	7322
P63172	6993
P68036	7332
Q00341	3069
Q01813	5214
Q15631	7247
Q4G0F5	112936
Q5SRE5	23511
Q6IBS0	11344
Q6NT76	79618
Q6URC4	1729
Q71UI9	94239
Q86UV5	84196
Q8N1F7	9688
Q8N543	55239
Q8WUM4	10015
Q96H20	11267
Q96Q11	51095
Q9H4M9	10938
Q9H832	65264
Q9NQW7	7511
Q9NWV4	54987
Q9UBK8	4552
Q9UGP4	8994
Q9UHY7	58478
Q9Y3F4	11171
Q9Y5Y2	10101
A0FGR8	57488
O43808	10478
P02751	2335
A0JLT2	219541
F5CTF3	1633
O60244	9282
O75448	9862
O75586	10001
P25963	4792
P27707	1633
P28360	4487
Q15648	5469
Q6IAN0	25979
Q6P2C8	9442
Q93074	9968
Q96G25	112950
Q96JH8	55698
Q9BTT4	84246
Q9BUE0	54797
Q9BWU1	23097
Q9H944	9477
Q9NPJ6	29079
Q9NVC6	9440
Q9NX70	55588
Q9UHV7	9969
Q9Y2X0	10025
A0JNW5	23074
P54253	6310
A0MNP2	9410
P13686	54
Q08345	780
Q6P2Q9	10594
A0MZ66	57698
O75936	8424
O95486	10802
P05413	2170
P09493	7168
P46934	4734
P49327	2194
P62508	2104
Q01518	10487
Q04323	51035
Q96CX2	115207
Q96EB6	23411
Q96KG7	84466
Q9C0B0	85451
Q9NZT2	11054
Q9UBQ0	51699
Q9UBT2	10054
Q9UJA5	51605
Q9Y5B8	29922
Q9Y617	29968
Q9Y6K9	8517
V9HW56	7171
V9HWP2	7184
A0N0R2	643
O15467	6360
O43927	10563
P04899	2771
P09471	2775
P10147	6348
P13236	388372
P13236	6351
P13501	6352
P50148	2776
A0PJW6	79064
P05141	292
A0PJX4	152573
Q8ND90	9240
A0PJZ3	727936
P78362	6733
A0PK00	144404
O95273	23582
P25054	324
A0ZT98	83942
P08238	3326
P36897	7046
P37173	7048
A1A4S6	79658
P35221	1495
P60953	998
P61586	387
P78314	6452
Q13177	5062
Q6P5Z2	29941
Q92625	23294
Q9BVT0	387
Q6A162	125115
Q99750	4188
A1A580	337963
O14503	8553
Q63HR2	23371
Q6IB83	8553
A1A5B4	338440
Q12959	1739
A1A5C7	63027
P26371	3846
P60410	386681
Q7Z3S9	388677
A1A5D2	115703
P63000	5879
A1A5D9	146439
Q6P597	147700
A1DRY3	338699
P36873	5501
P62136	5499
A1E959	54959
Q9H0E2	54472
A1KXE4	130074
Q9UGN5	10038
A1KZ92	137902
O60888	51596
Q13813	6709
Q86X55	10498
A1L0T0	10994
O14949	27089
O60784	10043
O75489	4722
O75955	10211
O75964	10632
P05026	481
P07910	3183
P08574	1537
P12956	2547
P21912	6390
P24752	38
P45880	7417
P47985	7386
P61106	51552
P62820	5861
Q13492	8301
Q59FA2	6426
Q6MZF9	5250
Q8TAP6	79959
Q9BPX1	51171
Q9H8V3	1894
Q9NZJ7	23787
Q9Y277	7419
A1L162	285141
O75367	9555
P01375	7124
Q96ST2	55677
A1L190	644186
P49441	3628
Q96CS2	115106
Q9UL45	26258
A1L3X0	79993
Q96EV8	84062
P60411	386676
P60411	386678
A1L3Z8	55184
Q5VTD9	8328
A1L429	100132399
A1L429	729422
A1L429	729428
A1L429	729431
Q53SE7	64395
Q96IK5	64395
A1L443	54754
P62993	2885
Q8NDC4	118812
Q9UQR1	7707
A1L4H1	284297
P37198	23636
Q13077	7185
Q13503	9412
Q7Z6G3	54550
Q9UPT5	23265
Q9Y6Y8	11196
A1L4K1	123722
O95835	9113
O95990	11170
P10768	2098
P17024	7568
P28070	5692
P29972	358
P31146	11151
P40426	5090
Q00994	27018
Q06787	2332
Q08117	166
Q14324	4606
Q14738	5528
Q15973	7678
Q16670	7741
Q3B820	84140
Q53FD0	79696
Q6IAM1	11170
Q6NYC8	170954
Q6P1J9	79577
Q7Z3B3	284058
Q7Z3I7	137209
Q86VK4	57862
Q86YD7	55138
Q8IY31	90410
Q8N8B7	170082
Q8NEF3	153733
Q8TAU3	147687
Q8TD31	54535
Q8WY48	166
Q92569	8503
Q96BZ8	79165
Q96NC0	153527
Q96SQ5	84914
Q99608	4692
Q9BXY8	84707
Q9H0A9	84221
Q9H0E9	10902
Q9H6F0	253461
Q9H788	63898
Q9HC52	57332
Q9P0T4	51545
Q9UGP5	27343
Q9UIE0	7773
Q9Y3B7	65003
A1X283	285590
P42765	10449
P48023	356
Q6P1N9	83940
Q9NQ48	54585
Q9Y2L1	22894
A1XBS5	137392
Q92624	10513
Q9Y3M2	25776
A1YPR0	201501
P36956	6720
A1Z1Q3	140733
A2A288	340152
Q5D1E8	80149
A2IXV5	10288
P17693	3135
P29350	5777
Q31612	3106
A2RRD8	162967
P60409	386675
P61964	11091
A2RRH5	253769
B4DYC6	10910
P08243	440
A2RRL7	155006
P15884	6925
P31153	4144
A2RRP1	51594
O95897	93145
P04792	3315
V9HW43	3315
A2RTX5	123283
O94808	9945
P07814	2058
P26639	6897
P41250	2617
P49588	16
Q9NSD9	10056
A2RU14	219854
P12004	5111
Q5T700	388633
